birth,death
6.164414002968976014e+00,6.403124237432848531e+00
6.000000000000000000e+00,6.164414002968976014e+00
5.656854249492380582e+00,5.744562646538028616e+00
5.099019513592784492e+00,5.196152422706632024e+00
5.099019513592784492e+00,5.196152422706632024e+00
5.000000000000000000e+00,5.099019513592784492e+00
4.898979485566355763e+00,5.385164807134503739e+00
4.582575694955839829e+00,4.690415759823429731e+00
4.242640687119284770e+00,4.472135954999579610e+00
4.123105625617660586e+00,4.242640687119284770e+00
4.123105625617660586e+00,4.242640687119284770e+00
4.000000000000000000e+00,4.123105625617660586e+00
4.000000000000000000e+00,4.123105625617660586e+00
3.741657386773941329e+00,4.358898943540673976e+00
3.741657386773941329e+00,4.123105625617660586e+00
3.741657386773941329e+00,4.123105625617660586e+00
3.605551275463989125e+00,3.741657386773941329e+00
3.605551275463989125e+00,3.741657386773941329e+00
3.605551275463989125e+00,5.744562646538028616e+00
3.162277660168379523e+00,3.316624790355399810e+00
3.162277660168379523e+00,3.316624790355399810e+00
3.162277660168379523e+00,3.316624790355399810e+00
3.162277660168379523e+00,5.744562646538028616e+00
3.162277660168379523e+00,3.316624790355399810e+00
3.000000000000000000e+00,3.162277660168379523e+00
2.828427124746190291e+00,3.000000000000000000e+00
2.449489742783177881e+00,2.828427124746190291e+00
2.236067977499789805e+00,2.449489742783177881e+00
2.236067977499789805e+00,2.449489742783177881e+00
2.236067977499789805e+00,2.449489742783177881e+00
2.236067977499789805e+00,2.449489742783177881e+00
2.000000000000000000e+00,2.236067977499789805e+00
2.000000000000000000e+00,2.236067977499789805e+00
2.000000000000000000e+00,2.236067977499789805e+00
2.000000000000000000e+00,2.236067977499789805e+00
2.000000000000000000e+00,2.236067977499789805e+00
1.732050807568877193e+00,2.000000000000000000e+00
1.732050807568877193e+00,2.000000000000000000e+00
1.732050807568877193e+00,2.000000000000000000e+00
1.732050807568877193e+00,2.000000000000000000e+00
1.732050807568877193e+00,2.000000000000000000e+00
1.732050807568877193e+00,2.000000000000000000e+00
1.414213562373095145e+00,1.732050807568877193e+00
1.414213562373095145e+00,1.732050807568877193e+00
0.000000000000000000e+00,6.557438524302000360e+00
0.000000000000000000e+00,3.000000000000000000e+00
