birth,death
5.916079783099616130e+00,6.082762530298219339e+00
5.916079783099616130e+00,6.164414002968976014e+00
4.582575694955839829e+00,5.000000000000000000e+00
4.242640687119284770e+00,4.582575694955839829e+00
4.123105625617660586e+00,4.472135954999579610e+00
3.741657386773941329e+00,4.123105625617660586e+00
3.741657386773941329e+00,4.000000000000000000e+00
3.605551275463989125e+00,4.123105625617660586e+00
3.605551275463989125e+00,3.741657386773941329e+00
3.605551275463989125e+00,4.000000000000000000e+00
3.605551275463989125e+00,3.741657386773941329e+00
3.464101615137754386e+00,3.741657386773941329e+00
3.464101615137754386e+00,3.605551275463989125e+00
3.316624790355399810e+00,3.605551275463989125e+00
3.316624790355399810e+00,4.123105625617660586e+00
3.316624790355399810e+00,3.605551275463989125e+00
3.316624790355399810e+00,3.605551275463989125e+00
3.316624790355399810e+00,4.123105625617660586e+00
3.162277660168379523e+00,3.316624790355399810e+00
3.162277660168379523e+00,3.316624790355399810e+00
3.162277660168379523e+00,3.464101615137754386e+00
3.162277660168379523e+00,3.316624790355399810e+00
3.000000000000000000e+00,3.464101615137754386e+00
3.000000000000000000e+00,3.162277660168379523e+00
3.000000000000000000e+00,3.162277660168379523e+00
3.000000000000000000e+00,4.123105625617660586e+00
2.828427124746190291e+00,3.000000000000000000e+00
2.828427124746190291e+00,3.000000000000000000e+00
2.828427124746190291e+00,3.000000000000000000e+00
2.828427124746190291e+00,3.000000000000000000e+00
2.449489742783177881e+00,2.828427124746190291e+00
2.449489742783177881e+00,3.316624790355399810e+00
2.449489742783177881e+00,2.828427124746190291e+00
2.449489742783177881e+00,3.000000000000000000e+00
2.236067977499789805e+00,2.449489742783177881e+00
2.236067977499789805e+00,2.449489742783177881e+00
2.000000000000000000e+00,2.236067977499789805e+00
1.732050807568877193e+00,2.000000000000000000e+00
1.732050807568877193e+00,2.000000000000000000e+00
1.732050807568877193e+00,2.000000000000000000e+00
1.414213562373095145e+00,1.732050807568877193e+00
1.414213562373095145e+00,2.000000000000000000e+00
1.414213562373095145e+00,2.236067977499789805e+00
1.414213562373095145e+00,2.000000000000000000e+00
1.414213562373095145e+00,2.000000000000000000e+00
1.000000000000000000e+00,1.414213562373095145e+00
1.000000000000000000e+00,1.414213562373095145e+00
1.000000000000000000e+00,1.414213562373095145e+00
1.000000000000000000e+00,1.414213562373095145e+00
1.000000000000000000e+00,1.414213562373095145e+00
1.000000000000000000e+00,1.414213562373095145e+00
1.000000000000000000e+00,1.732050807568877193e+00
1.000000000000000000e+00,1.414213562373095145e+00
0.000000000000000000e+00,2.828427124746190291e+00
0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,2.236067977499789805e+00
0.000000000000000000e+00,1.000000000000000000e+00
0.000000000000000000e+00,6.324555320336759046e+00
0.000000000000000000e+00,1.000000000000000000e+00
