birth,death
3.863607358978289774e+00,3.982515309245294510e+00
3.863607358978289774e+00,3.982515309245294510e+00
3.863607358978289774e+00,3.982515309245294510e+00
3.482608610264056992e+00,3.614073753578819215e+00
3.482608610264056992e+00,3.614073753578819215e+00
3.482608610264056992e+00,3.614073753578819215e+00
3.345982123123701690e+00,3.614073753578819215e+00
3.345982123123701690e+00,3.482608610264056992e+00
3.203533986746737394e+00,3.482608610264056992e+00
2.365966648989731080e+00,2.731982963375796380e+00
2.159822173260972367e+00,2.365966648989731080e+00
2.159822173260972367e+00,2.365966648989731080e+00
2.159822173260972367e+00,4.319644346521944733e+00
2.159822173260972367e+00,2.365966648989731080e+00
1.931803679489144887e+00,2.159822173260972367e+00
1.672991061561850845e+00,1.931803679489144887e+00
1.672991061561850845e+00,1.931803679489144887e+00
1.672991061561850845e+00,2.159822173260972367e+00
1.365991481687898190e+00,4.530481211580387857e+00
9.659018397445724435e-01,1.365991481687898190e+00
9.659018397445724435e-01,1.365991481687898190e+00
9.659018397445724435e-01,1.365991481687898190e+00
9.659018397445724435e-01,1.365991481687898190e+00
9.659018397445724435e-01,1.365991481687898190e+00
9.659018397445724435e-01,1.365991481687898190e+00
9.659018397445724435e-01,1.672991061561850845e+00
9.659018397445724435e-01,1.365991481687898190e+00
9.659018397445724435e-01,1.365991481687898190e+00
0.000000000000000000e+00,4.731933297979462161e+00
0.000000000000000000e+00,1.672991061561850845e+00
0.000000000000000000e+00,9.659018397445724435e-01
0.000000000000000000e+00,9.659018397445724435e-01
0.000000000000000000e+00,2.731982963375796380e+00
