birth,death
4.730981371079774789e+00,4.828537642399251872e+00
4.529569810962024157e+00,4.828537642399251872e+00
4.425427848447636592e+00,4.529569810962024157e+00
4.097150052186019131e+00,4.209421525660095753e+00
3.862830113919401676e+00,3.981714143376598347e+00
3.862830113919401676e+00,3.981714143376598347e+00
3.613346707399838653e+00,3.981714143376598347e+00
3.345309009157738878e+00,3.481908011035701467e+00
3.202889529189115070e+00,3.481908011035701467e+00
3.202889529189115070e+00,3.481908011035701467e+00
3.202889529189115070e+00,5.017963513736608760e+00
3.053835343568250149e+00,3.202889529189115070e+00
2.897122585439551479e+00,3.053835343568250149e+00
2.897122585439551479e+00,5.547567395585907946e+00
2.365490685539887394e+00,2.731433368124013050e+00
2.159387680064259740e+00,2.365490685539887394e+00
1.931415056959700838e+00,2.159387680064259740e+00
1.931415056959700838e+00,2.159387680064259740e+00
1.931415056959700838e+00,2.159387680064259740e+00
1.672654504578869439e+00,1.931415056959700838e+00
1.672654504578869439e+00,1.931415056959700838e+00
1.672654504578869439e+00,1.931415056959700838e+00
1.672654504578869439e+00,1.931415056959700838e+00
1.672654504578869439e+00,1.931415056959700838e+00
1.672654504578869439e+00,1.931415056959700838e+00
0.000000000000000000e+00,6.183545281880703293e+00
0.000000000000000000e+00,2.897122585439551479e+00
